model,epoch,val_loss,val_f1_macro,thresholds
mono_hin_microsoft_mdeberta-v3-base_1,5.0,0.5437206029891968,0.6612037429292635,"0.2,0.35000000000000003,0.15000000000000002,0.3,0.45,0.25"
mono_hin_microsoft_mdeberta-v3-base_1,5.0,0.5169521570205688,0.6885701468114082,"0.2,0.35000000000000003,0.15000000000000002,0.3,0.45,0.25"
mono_khm_microsoft_mdeberta-v3-base_1,1.0,0.20361581444740295,0.13804347826086957,"0.4,0.1,0.1,0.15000000000000002,0.1,0.3"
mono_khm_microsoft_mdeberta-v3-base_1,2.0,0.19731654226779938,0.1383572567783094,"0.4,0.1,0.1,0.15000000000000002,0.1,0.3"
mono_khm_microsoft_mdeberta-v3-base_1,3.0,0.20352326333522797,0.14943484344618294,"0.4,0.1,0.1,0.15000000000000002,0.1,0.3"
mono_khm_microsoft_mdeberta-v3-base_1,4.0,0.22351756691932678,0.19203523912261777,"0.4,0.1,0.1,0.15000000000000002,0.1,0.3"
mono_khm_microsoft_mdeberta-v3-base_1,5.0,0.2184973955154419,0.2119350811485643,"0.4,0.1,0.1,0.15000000000000002,0.1,0.3"
mono_khm_microsoft_mdeberta-v3-base_1,5.0,0.2184973955154419,0.2119350811485643,"0.4,0.1,0.1,0.15000000000000002,0.1,0.3"
mono_khm_microsoft_mdeberta-v3-base_1,5.0,0.20125487446784973,0.21425552930961178,"0.4,0.1,0.1,0.15000000000000002,0.1,0.3"
mono_nep_microsoft_mdeberta-v3-base_1,1.0,0.36165115237236023,0.3485680944045535,"0.35000000000000003,0.3,0.25,0.4,0.3,0.2"
mono_nep_microsoft_mdeberta-v3-base_1,2.0,0.3251836895942688,0.46877129956961605,"0.35000000000000003,0.3,0.25,0.4,0.3,0.2"
